date,product,units_sold,price,stock,promotion,day_of_week,month
2023-01-01,Rice 5kg,108,15.99,892,0,6,1
2023-01-02,Rice 5kg,73,15.99,819,0,0,1
2023-01-03,Rice 5kg,66,15.99,753,0,1,1
2023-01-04,Rice 5kg,91,12.79,662,1,2,1
2023-01-05,Rice 5kg,78,15.99,584,0,3,1
2023-01-06,Rice 5kg,134,12.79,450,1,4,1
2023-01-07,Rice 5kg,105,15.99,345,0,5,1
2023-01-08,Rice 5kg,107,15.99,238,0,6,1
2023-01-09,Rice 5kg,60,15.99,178,0,0,1
2023-01-10,Rice 5kg,86,15.99,92,0,1,1
2023-01-11,Rice 5kg,70,15.99,1022,0,2,1
2023-01-12,Rice 5kg,78,15.99,944,0,3,1
2023-01-13,Rice 5kg,65,15.99,879,0,4,1
2023-01-14,Rice 5kg,100,15.99,779,0,5,1
2023-01-15,Rice 5kg,85,15.99,694,0,6,1
2023-01-16,Rice 5kg,71,15.99,623,0,0,1
2023-01-17,Rice 5kg,61,15.99,562,0,1,1
2023-01-18,Rice 5kg,127,12.79,435,1,2,1
2023-01-19,Rice 5kg,68,15.99,367,0,3,1
2023-01-20,Rice 5kg,81,15.99,286,0,4,1
2023-01-21,Rice 5kg,134,12.79,152,1,5,1
2023-01-22,Rice 5kg,92,15.99,60,0,6,1
2023-01-23,Rice 5kg,64,15.99,996,0,0,1
2023-01-24,Rice 5kg,66,15.99,930,0,1,1
2023-01-25,Rice 5kg,72,15.99,858,0,2,1
2023-01-26,Rice 5kg,63,15.99,795,0,3,1
2023-01-27,Rice 5kg,58,15.99,737,0,4,1
2023-01-28,Rice 5kg,113,15.99,624,0,5,1
2023-01-29,Rice 5kg,85,15.99,539,0,6,1
2023-01-30,Rice 5kg,74,15.99,465,0,0,1
2023-01-31,Rice 5kg,128,12.79,337,1,1,1
2023-02-01,Rice 5kg,46,15.99,291,0,2,2
2023-02-02,Rice 5kg,55,15.99,236,0,3,2
2023-02-03,Rice 5kg,62,15.99,174,0,4,2
2023-02-04,Rice 5kg,142,12.79,32,1,5,2
2023-02-05,Rice 5kg,81,15.99,951,0,6,2
2023-02-06,Rice 5kg,52,15.99,899,0,0,2
2023-02-07,Rice 5kg,53,15.99,846,0,1,2
2023-02-08,Rice 5kg,58,15.99,788,0,2,2
2023-02-09,Rice 5kg,52,15.99,736,0,3,2
2023-02-10,Rice 5kg,51,15.99,685,0,4,2
2023-02-11,Rice 5kg,90,15.99,595,0,5,2
2023-02-12,Rice 5kg,105,12.79,490,1,6,2
2023-02-13,Rice 5kg,66,15.99,424,0,0,2
2023-02-14,Rice 5kg,49,15.99,375,0,1,2
2023-02-15,Rice 5kg,50,15.99,325,0,2,2
2023-02-16,Rice 5kg,49,15.99,276,0,3,2
2023-02-17,Rice 5kg,52,15.99,224,0,4,2
2023-02-18,Rice 5kg,74,15.99,150,0,5,2
2023-02-19,Rice 5kg,88,15.99,62,0,6,2
2023-02-20,Rice 5kg,52,15.99,1010,0,0,2
2023-02-21,Rice 5kg,83,12.79,927,1,1,2
2023-02-22,Rice 5kg,53,15.99,874,0,2,2
2023-02-23,Rice 5kg,61,15.99,813,0,3,2
2023-02-24,Rice 5kg,49,15.99,764,0,4,2
2023-02-25,Rice 5kg,89,15.99,675,0,5,2
2023-02-26,Rice 5kg,79,15.99,596,0,6,2
2023-02-27,Rice 5kg,93,12.79,503,1,0,2
2023-02-28,Rice 5kg,62,15.99,441,0,1,2
2023-03-01,Rice 5kg,53,15.99,388,0,2,3
2023-03-02,Rice 5kg,56,15.99,332,0,3,3
2023-03-03,Rice 5kg,49,15.99,283,0,4,3
2023-03-04,Rice 5kg,94,15.99,189,0,5,3
2023-03-05,Rice 5kg,75,15.99,114,0,6,3
2023-03-06,Rice 5kg,50,15.99,64,0,0,3
2023-03-07,Rice 5kg,52,15.99,1012,0,1,3
2023-03-08,Rice 5kg,57,15.99,955,0,2,3
2023-03-09,Rice 5kg,47,15.99,908,0,3,3
2023-03-10,Rice 5kg,45,15.99,863,0,4,3
2023-03-11,Rice 5kg,88,15.99,775,0,5,3
2023-03-12,Rice 5kg,70,15.99,705,0,6,3
2023-03-13,Rice 5kg,58,15.99,647,0,0,3
2023-03-14,Rice 5kg,56,15.99,591,0,1,3
2023-03-15,Rice 5kg,97,12.79,494,1,2,3
2023-03-16,Rice 5kg,58,15.99,436,0,3,3
2023-03-17,Rice 5kg,62,15.99,374,0,4,3
2023-03-18,Rice 5kg,72,15.99,302,0,5,3
2023-03-19,Rice 5kg,70,15.99,232,0,6,3
2023-03-20,Rice 5kg,57,15.99,175,0,0,3
2023-03-21,Rice 5kg,50,15.99,125,0,1,3
